iter	RMSE
0	0.9389595104
1	0.860914292
2	0.7812794866
3	0.7161414963
4	0.64835331
5	0.6033803957
6	0.5603628212
7	0.5279114561
8	0.4881910974
9	0.4585802465
10	0.4347187121
11	0.4056293991
12	0.3831739363
13	0.3618663376
14	0.3435943539
15	0.3317420492
16	0.3171043447
17	0.3029000283
18	0.2893700734
19	0.2769756129
20	0.2696084266
21	0.2576434381
22	0.2464108261
23	0.2385318809
24	0.2304083667
25	0.2216074738
26	0.2127421903
27	0.2056504986
28	0.1989288472
29	0.1911764848
30	0.185997654
31	0.1799289815
32	0.1739650315
33	0.1679513348
34	0.1627795958
35	0.1565966364
36	0.1517989531
37	0.1465936785
38	0.1417473083
39	0.1355129751
40	0.1310554634
41	0.1268926099
42	0.1231427709
43	0.117038027
44	0.112400274
45	0.1088803835
46	0.1053058514
47	0.101575007
48	0.0983010498
49	0.09338720306
50	0.09067540393
51	0.08763528588
52	0.08479063521
53	0.08084655134
54	0.07844215382
55	0.07481777159
56	0.07239601458
57	0.07018212113
58	0.06821164215
59	0.06495396712
60	0.06174089621
61	0.05982663329
62	0.05825766258
63	0.05539108838
64	0.05257079531
65	0.05113263408
66	0.04854985686
67	0.04703903627
68	0.04501601401
69	0.04356509888
70	0.04217356947
71	0.04013909218
72	0.03908849168
73	0.03721889759
74	0.03612503931
75	0.03503832563
76	0.03417282078
77	0.03228503749
78	0.03078329319
79	0.02986185496
80	0.02898807081
81	0.02741254266
82	0.02667616047
83	0.02510940906
84	0.02437682943
85	0.02326985238
86	0.02219897455
87	0.02159980036
88	0.02033357444
89	0.01984079073
90	0.01868717244
91	0.01817665942
92	0.01763917223
93	0.01670251772
94	0.01625456424
95	0.01530832771
96	0.01489576321
97	0.01411374251
98	0.0134557485
99	0.01310372912
