iter	Passed	Remaining
0	7	745
1	13	662
2	16	548
3	22	551
4	25	476
5	29	462
6	35	471
7	41	482
8	45	458
9	51	465
10	57	464
11	61	453
12	65	439
13	69	426
14	75	428
15	82	431
16	88	432
17	93	425
18	99	424
19	106	426
20	111	417
21	117	416
22	124	415
23	130	412
24	135	407
25	142	405
26	148	401
27	155	398
28	161	395
29	167	391
30	174	387
31	180	383
32	186	379
33	193	374
34	199	370
35	205	365
36	212	360
37	218	356
38	224	351
39	230	346
40	236	340
41	242	334
42	248	329
43	254	324
44	261	319
45	267	313
46	273	308
47	279	302
48	285	296
49	292	292
50	298	286
51	305	282
52	311	276
53	317	270
54	324	265
55	330	259
56	335	253
57	340	246
58	346	240
59	353	235
60	359	230
61	365	224
62	372	218
63	378	212
64	385	207
65	391	201
66	397	195
67	404	190
68	410	184
69	416	178
70	422	172
71	428	166
72	432	159
73	438	154
74	444	148
75	450	142
76	454	135
77	460	129
78	467	124
79	472	118
80	479	112
81	484	106
82	492	100
83	498	95
84	505	89
85	511	83
86	518	77
87	524	71
88	530	65
89	534	59
90	541	53
91	547	47
92	553	41
93	559	35
94	566	29
95	573	23
96	579	17
97	585	11
98	592	5
99	598	0
