,Sales,Customers,Year,Month,Day,Store
0,5509.0,657.0,2015,1,2,1
1,4137.0,543.0,2015,1,2,2
2,5523.0,698.0,2015,1,2,3
3,10737.0,1489.0,2015,1,2,4
4,4773.0,509.0,2015,1,2,5
5,4273.0,515.0,2015,1,2,6
6,9434.0,988.0,2015,1,2,7
7,5028.0,639.0,2015,1,2,8
8,7073.0,633.0,2015,1,2,9
9,4902.0,514.0,2015,1,2,10
10,5023.0,645.0,2015,1,3,1
11,3132.0,350.0,2015,1,3,2
12,4299.0,507.0,2015,1,3,3
13,9751.0,1454.0,2015,1,3,4
14,2109.0,230.0,2015,1,3,5
15,3477.0,389.0,2015,1,3,6
16,4960.0,516.0,2015,1,3,7
17,3250.0,371.0,2015,1,3,8
18,6043.0,530.0,2015,1,3,9
19,4956.0,502.0,2015,1,3,10
20,6239.0,712.0,2015,1,5,1
21,7308.0,755.0,2015,1,5,2
22,10684.0,946.0,2015,1,5,3
23,11177.0,1483.0,2015,1,5,4
24,7314.0,749.0,2015,1,5,5
25,6459.0,672.0,2015,1,5,6
26,13086.0,1227.0,2015,1,5,7
27,9390.0,935.0,2015,1,5,8
28,10602.0,845.0,2015,1,5,9
29,7581.0,745.0,2015,1,5,10
30,4574.0,595.0,2015,1,6,1
31,6696.0,727.0,2015,1,6,2
32,8739.0,869.0,2015,1,6,3
33,10509.0,1348.0,2015,1,6,4
34,6123.0,658.0,2015,1,6,5
35,5857.0,663.0,2015,1,6,6
36,11736.0,1120.0,2015,1,6,7
37,7182.0,844.0,2015,1,6,8
38,8505.0,709.0,2015,1,6,9
39,6192.0,613.0,2015,1,6,10
40,4796.0,603.0,2015,1,7,1
41,5945.0,670.0,2015,1,7,2
42,7253.0,754.0,2015,1,7,3
43,9024.0,1231.0,2015,1,7,4
44,5264.0,609.0,2015,1,7,5
45,5206.0,581.0,2015,1,7,6
46,9377.0,941.0,2015,1,7,7
47,7262.0,781.0,2015,1,7,8
48,7149.0,603.0,2015,1,7,9
49,5200.0,599.0,2015,1,7,10
50,3716.0,457.0,2015,1,8,1
51,5246.0,567.0,2015,1,8,2
52,6300.0,684.0,2015,1,8,3
53,8257.0,1180.0,2015,1,8,4
54,4800.0,513.0,2015,1,8,5
55,5043.0,594.0,2015,1,8,6
56,7352.0,791.0,2015,1,8,7
57,6089.0,721.0,2015,1,8,8
58,6548.0,520.0,2015,1,8,9
59,4534.0,487.0,2015,1,8,10
60,3998.0,494.0,2015,1,9,1
61,4762.0,524.0,2015,1,9,2
62,7719.0,733.0,2015,1,9,3
63,8658.0,1197.0,2015,1,9,4
64,4780.0,560.0,2015,1,9,5
65,5246.0,601.0,2015,1,9,6
66,7623.0,742.0,2015,1,9,7
67,4593.0,544.0,2015,1,9,8
68,6744.0,597.0,2015,1,9,9
69,5746.0,612.0,2015,1,9,10
70,4599.0,566.0,2015,1,10,1
71,3024.0,346.0,2015,1,10,2
72,3373.0,391.0,2015,1,10,3
73,10693.0,1466.0,2015,1,10,4
74,2169.0,229.0,2015,1,10,5
75,3168.0,373.0,2015,1,10,6
76,4761.0,460.0,2015,1,10,7
77,2763.0,345.0,2015,1,10,8
78,5544.0,532.0,2015,1,10,9
79,4289.0,463.0,2015,1,10,10
80,5346.0,590.0,2015,1,12,1
81,7237.0,689.0,2015,1,12,2
82,8209.0,814.0,2015,1,12,3
83,11124.0,1431.0,2015,1,12,4
84,7523.0,725.0,2015,1,12,5
85,6272.0,702.0,2015,1,12,6
86,11019.0,990.0,2015,1,12,7
87,8425.0,857.0,2015,1,12,8
88,9529.0,759.0,2015,1,12,9
89,6460.0,654.0,2015,1,12,10
90,4924.0,564.0,2015,1,13,1
91,6444.0,695.0,2015,1,13,2
92,7464.0,717.0,2015,1,13,3
93,8851.0,1223.0,2015,1,13,4
