,Sales,Customers,Year,Month,Day,Store
1,5958,495,2015,1,2,1
2,6905,535,2015,1,2,2
3,10892,778,2015,1,2,3
4,11881,1378,2015,1,2,4
5,7476,638,2015,1,2,5
6,7661,645,2015,1,2,6
7,13741,1098,2015,1,2,7
8,8381,726,2015,1,2,8
9,10734,590,2015,1,2,9
10,8774,675,2015,1,2,10
11,7003,643,2015,1,3,1
12,8348,604,2015,1,3,2
13,10583,755,2015,1,3,3
14,11940,1360,2015,1,3,4
15,6641,588,2015,1,3,5
16,8668,643,2015,1,3,6
17,11984,885,2015,1,3,7
18,8009,616,2015,1,3,8
19,9626,544,2015,1,3,9
20,8870,656,2015,1,3,10
21,7783,656,2015,1,5,1
22,9075,654,2015,1,5,2
23,11608,808,2015,1,5,3
24,12930,1443,2015,1,5,4
25,8593,672,2015,1,5,5
26,9761,686,2015,1,5,6
27,13954,910,2015,1,5,7
28,9550,733,2015,1,5,8
29,10813,591,2015,1,5,9
30,9195,582,2015,1,5,10
31,8634,653,2015,1,6,1
32,9910,676,2015,1,6,2
33,12880,845,2015,1,6,3
34,13019,1450,2015,1,6,4
35,7588,600,2015,1,6,5
36,8643,631,2015,1,6,6
37,13684,905,2015,1,6,7
38,8898,630,2015,1,6,8
39,10647,582,2015,1,6,9
40,8884,606,2015,1,6,10
41,7435,657,2015,1,7,1
42,7439,583,2015,1,7,2
43,10143,806,2015,1,7,3
44,11836,1381,2015,1,7,4
45,4919,473,2015,1,7,5
46,7584,624,2015,1,7,6
47,11516,815,2015,1,7,7
48,8495,640,2015,1,7,8
49,10374,637,2015,1,7,9
50,9512,708,2015,1,7,10
51,8944,725,2015,1,8,1
52,9718,677,2015,1,8,2
53,12969,847,2015,1,8,3
54,12535,1389,2015,1,8,4
55,8613,665,2015,1,8,5
56,9982,713,2015,1,8,6
57,12844,873,2015,1,8,7
58,9541,726,2015,1,8,8
59,10228,577,2015,1,8,9
60,8247,609,2015,1,8,10
61,7737,615,2015,1,9,1
62,7997,528,2015,1,9,2
63,10364,733,2015,1,9,3
64,11629,1296,2015,1,9,4
65,6969,557,2015,1,9,5
66,8539,608,2015,1,9,6
67,11718,812,2015,1,9,7
68,8019,596,2015,1,9,8
69,8637,496,2015,1,9,9
70,7993,572,2015,1,9,10
71,6082,584,2015,1,10,1
72,5885,476,2015,1,10,2
73,8750,729,2015,1,10,3
74,10469,1244,2015,1,10,4
75,5194,500,2015,1,10,5
76,8093,628,2015,1,10,6
77,10543,750,2015,1,10,7
78,7087,571,2015,1,10,8
79,8471,526,2015,1,10,9
80,7273,531,2015,1,10,10
81,6447,610,2015,1,12,1
82,6348,483,2015,1,12,2
83,8595,703,2015,1,12,3
84,10300,1143,2015,1,12,4
85,7038,615,2015,1,12,5
86,8669,704,2015,1,12,6
87,11959,803,2015,1,12,7
88,8698,645,2015,1,12,8
89,10342,593,2015,1,12,9
90,8395,575,2015,1,12,10
91,7561,637,2015,1,13,1
92,8170,626,2015,1,13,2
93,10433,778,2015,1,13,3
94,11164,1232,2015,1,13,4
95,7338,634,2015,1,13,5
96,8890,693,2015,1,13,6
97,11392,855,2015,1,13,7
98,8510,701,2015,1,13,8
99,8308,521,2015,1,13,9
100,7578,569,2015,1,13,10
101,7330,583,2015,1,14,1
102,7646,487,2015,1,14,2
103,11086,722,2015,1,14,3
104,11493,1259,2015,1,14,4
105,6940,553,2015,1,14,5
106,8710,593,2015,1,14,6
107,11905,825,2015,1,14,7
108,8567,676,2015,1,14,8
109,8776,505,2015,1,14,9
110,8179,561,2015,1,14,10
111,7174,650,2015,1,15,1
112,6655,519,2015,1,15,2
113,10510,766,2015,1,15,3
114,11308,1306,2015,1,15,4
115,4679,448,2015,1,15,5
116,7136,567,2015,1,15,6
117,9379,676,2015,1,15,7
118,7899,633,2015,1,15,8
119,7564,495,2015,1,15,9
120,6612,511,2015,1,15,10
121,6997,598,2015,1,16,1
122,7323,614,2015,1,16,2
123,10239,746,2015,1,16,3
124,10686,1192,2015,1,16,4
125,7637,651,2015,1,16,5
126,10141,782,2015,1,16,6
127,10474,750,2015,1,16,7
128,8230,725,2015,1,16,8
129,9941,574,2015,1,16,9
130,8597,640,2015,1,16,10
131,6718,616,2015,1,17,1
132,7610,587,2015,1,17,2
133,10531,793,2015,1,17,3
134,10915,1220,2015,1,17,4
135,8759,657,2015,1,17,5
136,9545,723,2015,1,17,6
137,13071,932,2015,1,17,7
138,9353,686,2015,1,17,8
139,10276,595,2015,1,17,9
140,8637,637,2015,1,17,10
141,7797,620,2015,1,19,1
